,Comment,Likes,Time,user,UserLink
0,Jai maa sherawali ji,94,3 months ago,,
1,नवरात्रि की हार्दिक शुभकामनाएं जय माँ दुर्गा,16,2 months ago,,
2,Jai maata Durga ️️️,2,3 days ago,,
3,Love this song,11,1 year ago,,
4,Jay mata di,2,4 days ago,,
5,Jai siyaram ji jai hanuman ji  jai shri shani dev ji,26,2 months ago,,https://www.youtube.com/channel/UCSkfYDPO_S8PA8G5WOa93Xg
6,My favourite song ️️,8,6 months ago,,
7,It's a heart touching song,12,1 year ago,,
8,Jai siyaram ji jai hanuman ji jai mata di,3,3 days ago,,https://www.youtube.com/channel/UCSkfYDPO_S8PA8G5WOa93Xg
9,Heart toiching voice for you sir,14,2 months ago,,
10,Jai mata di,0,20 hours ago,,
11,Jai Mata Di  kirpa kro Maa Aa jao Maa️,29,2 years ago,,
12,जय माता दीगुलशन कुमार जी आपने जो कार्य सनातन धर्म और संस्कृति के लिए किया वह अद्वितीय है।,82,8 months ago,,
13,Gulshan Kumar ji = next level voice ️,72,4 months ago,,
14,"अच्छा वीडियो, रोचक और उपयोगी, मेरे दोस्त तुरंत इसे पसंद करते हैं। काम के प्रति उत्साह बनाए रखें, काम करें और हमेशा प्रार्थना करना न भूलें। ईश्वर के साथ शुभकामनाएं और सफलता हम सभी को आशीर्वाद दे",3,3 days ago,,
15,Wow such a nice song,10,1 year ago,,
16,Jai Mata di,1,3 days ago,,
17,गुलशन कुमार जीजो अमर हो गएबोलो शेरों वाली मईया की जयजय माता दी,100,2 years ago,,
18,आज भी इनका भंडारा आयोजित किया जाता हैंजय माता दीभगवान दिवंगत आत्मा को शांति प्रदान करे,62,2 months ago,,
19,"नवरात्रि का त्यौहार जब भी आता हैं,माँ की भक्ति में दिल डूब जाता हैं.शुभ नवरात्रि",64,1 year ago,,
20,Jai Maa,1,3 days ago,,
21,Miss you gulshan sir apko koti koti pronam,52,1 year ago,,
22,Jai Maa,0,9 hours ago,,
23,जय माता दी,23,2 years ago,,
24,Gulshan Kumar ji live ever forever by these beautiful spritual songs ️,41,1 year ago,,
25,This satisfying our heart like a medicine,58,1 year ago,,
26,Jai Maa Durga maa Durga Tumhe Namskar ️,1,2 days ago,,
27,A heart touching song,7,4 months ago,,
28,Jai Mata Di ️,4,6 days ago,,
29,Very very nice song gulnshan Kumar ji,88,3 years ago,,
30,Gulshan kumaar is one of the greatest singer ever in indian bhakti songs,38,1 year ago,,
31,Inka jaisa ab singer nhi ho sakta great,2,2 months ago,,
32,Jay maa Durga maa,1,8 days ago,,
33,नवरात्रि की असीम शुभकामनाएंजय माता दी।,47,1 year ago,,
