,Comment,Likes,Time,user
0,"LG has made significant contributions to the things we've normalized today like a dedicated wide-angle camera, double tap to wake or sleep and now the shortcuts bar. Kinda miss having LG as a flagship competitor.",15K,2 months ago,
1,"Many reviewers bash the always on display for being too bright and mistaken it for still being on. I switched from android to the iPhone 14 Pro space black and in combination with the Omber leather case and the standard background with the always on display, the phone looks really gorgeous on my desk. Give it a chance to get used to!",0,4 hours ago,
2,"I’m FINALLY upgrading from my OG iPhone X lol. I ordered the 14 pro 256gb and I can’t wait for it to come in. I kept hearing how awesome the cameras are, and I do use my phone to shoot videos. I use it as a webcam. I use my phone camera A LOT, and I’m still rockin the iPhone X. Which is ancient in phone years, but honestly, this thing still runs like a champ. I changed the battery in it a couple years ago and the thing just works. So I’m hoping to get another 3 years out of the 14 pro. Not 5yrs again bc it turns out, you don’t get shit in store credit the longer you keep your phone lol.",7,1 day ago,
3,Never forget the LG V10. Honestly my favorite smartphone i've ever owned.,4,7 days ago,
4,I don't understand why they removed noise cancellation since iPhone 13.... It was such a cool feature. Every new phone instead of iPhones has that.,9,9 days ago,
5,"I’m definitely thinking of upgrading to this bc my XR that I’m watching this on, is cracked on the back and slightly bent",6,3 days ago,
6,"I honestly think the Dynamic Island is just another one of the small marketing schemes that apple does that works so well. Even though there is still a notch, this new feature made it look new for most people.",27K,2 months ago,
7,"As an avid mountaineer the satellite communication is groundbreaking. Maybe for some that feature seems like something you would never use, but I spend almost every weekend out of cell service. The ability to keep family updated with my location quickly and easily and have the ability to call for rescue is an absolute insane feature for me",542,2 months ago,
8,To me personally the true limit of the new camera is that they did not implement a 5x optical zoom. This is only partially replaced by cropping a more detailed 48mp photo but it still lacks for all those that like me don’t usually take photo of people.,535,2 months ago,
9,"Switching from a Samsung Galaxy S10e, hoping it's worth.",2,6 days ago,
10,"LG was so underrated but novel in many of their designs.  The LG V10 was a great phone. It was an absolute missed opportunity that they couldn't build off the platform.  Curve displays, multiple cameras,  notebook-like phone....LG was so creative.",454,2 months ago,
11,Will probably buy this phone in a few years when it's affordable and my current phone gets old,1,1 day ago,
12,Glad you gave LG its props. LG definitely contributed a lot of creative ways we use our smart phones!,2.9K,2 months ago,
13,"I loved the v10 with that double screen which led me survive an entire year in college without a laptop. The main screen was enormous, and as lg’s QSlide apps feature can draw applets over other apps like a window, it made the phone very dependable for serious work, especially things like calculator. It was my only device during my first year at college - all assignments, done all video editing, made reports, PPTs, designs with just that phone as I didn’t have a laptop. It was a bummer when they discontinued it after v20, I now have an iPhone 13 but it’s nowhere near how v10 used to be in fluid multitasking on a mobile device. The second screen used to intelligently show the most important apps/ functions I needed to switch, more like a companion, and if needed there was always QSlide apps to do some quick jotting or calculation without getting out of the current screen. It was like a live companion which was actually useful, I used to wonder why it disappeared when the phones became all screen.
Also worth mentioning was the desktop class files app it had which was miles ahead of the crappy files app I have on my iPhone. All my assignments and books were sorted in that phone exactly how I needed it to be.",43,2 months ago (edited),
14,"I really love the dynamic island, wish they did a sort of dynamic notch for the regular 14 because the dynamic part is purely software, but this is outstanding and i love it!",6,5 days ago,
15,"You've become my favorite phone reviewer.Aside from this, I just upgraded from my 12 Pro Max to the 14 Max, and I love it.The Dynamic Island is fun! and definitely the camera feels even better.. I've been taking more pictures than I've ever had lolThanks for a great review! :D",51,1 month ago,
16,"This certainly is not a significant upgrade from a 13 pro, or even that large from a 12 pro. As someone who is coming from a XR, I can say that the 14 pro has been a huge upgrade, even though I have had it less than 24 hours. Great video as always",284,2 months ago,
17,Got it Last October. It’s awesome,0,6 days ago,
18,It's amazing how some features like 'Car crash detection' seems so simple for people but I think this might have made the engineers and designers scratch their head to make it precise.,2.1K,2 months ago,
19,Just upgraded from my iPhone SE 2nd gen. Battery life increase is a game changer. Pro motion is a game changer. Screen size is a game changer. Camera system is a game changer. Dynamic island is neat. IPhone SE feels like the first iPhone now,14,11 days ago,
20,"Not updating this year but i absolutely love how Apple went and made something out of the Pill/hole punch. So the notch was done, new displays have hole/pill punch but instead of leaving at that  they built this cool feature. As if no one will copy it and every should copy it, such a simple idea, it's great!",21,2 months ago,
21,With the dynamic island - I'm wondering if the 'touch' will interfere with the physical sensors / cameras?  The complete omission of updates to Siri continues to surprise me.  Great review overall Markus - you make awesome content.,15,1 month ago (edited),
22,"Love the LG mention. It’s a shame that they were so slow with updates, because their hardware was always great and innovative. Thinking that they might not release a new phone ever again… I’m actually planning to buy some of them just for “collector” purposes",15,2 months ago,
23,Watching it on my 14Pro Max Deep Purple,1,4 days ago,
24,"I really hope the dynamic island isn't copied! We've spent the last few years making selfie camera close to invisible with small holepunch cameras, and I'd hate to have a massive chunk of my screen taken up by a floating widget just because Apple did it.",1.3K,2 months ago,
25,"Dynamic island is a pretty smart solution for the notch, and allows ios a level of multitasking that is often taken for granted on Android. It makes even less sense on MacBooks but that's where this is going. If anyone remembers clippy or bonzybuddy they were interactive gui elements this is exactly that minus the annoyance.",15,2 months ago (edited),
26,"Million views pre year you been on, damn your Ludacris level consistent.  Pun intended  love the review getting it!",0,1 day ago,
27,"I did think of LG’s double screens but at the same time the dynamic island is still different. We’ve never had a marriage of software and hardware quite in this way, especially considering that this is just a combination of screen cutouts and cameras, there’s no actual screen. So I still think it’s innovative on Apple’s part.",0,1 month ago,
28,"With regards to the new phones brightness, would using Accessibility - Zoom and changing the filter to Low Light work to save battery, because the screen is way dimmer? or use more battery, because you're dimming it through a secondary means.",0,1 month ago,
29,"I mean yeah, those camera features are cool, but I have all of that on my Pixel 7 that I got for less than $500 on sale... I can tell this new iPhone will be a good phone, but man, the value proposition is just not there.",0,1 day ago,
30,Continuously impressed by the production quality standard you and your team hold yourselves to. Seriously the best tech channel on YouTube.,720,2 months ago,
31,"The satellite connectivity is not just for emergency cases.  I'm looking forward to testing it out.  I do a lot of hiking and often times will be without cellular signal for days.  I have a Garmin inReach mini that I have to pay a service fee for that lets me send texts via satellite and also send SOS in case of an actual emergency.  Thankfully I have never had to send the SOS, but the ability to update my wife and family each night that I'm OK, or if we get off schedule, etc. and send a GPS location to show we are on track is priceless and provides peace of mind. Can't wait too see if this new iPhone feature can replace the need to bring an inReach along.",6,1 month ago,
32,"great vid! one thing I’d like to touch about the always on display is that it actually adjusts to the lighting, so if you’re in a dark room the always on will be a lot dimmer and vice versa. keep up the good work though man i love it!",6,2 months ago,
33,I just upgraded from my 12 Pro Max. The Dynamic Island sold it for me. Good on Apple for making the notch useful. I picked up the new purple. It looks a lot better in person and better than the lavender. I’m throwing a case on it anyways so it’s not a big deal what color I got. The Crash Detection was another thing that sold me on this phone. I hope I’ll never have to use it but I’m glad I have it since I don’t have OnStar.,31,2 months ago (edited),
34,Always very nice review and providing explanations in simple terms for the less techies out here. Thank you.,4,1 month ago,
