,Comment,Likes,Time,user,UserLink
0,A year ago today this trailer was released. Who else is coming back to feel the nostalgia and remembering the INSANE hype leading up to the movie,979,3 months ago,,
1,Can we go back in time to relive the Incredible Hype for this movie,2.4K,4 months ago,,
2,One year later and this film feels nostalgic AF,20,9 days ago,,
3,10 months later and doc’s “hello peter” still gives me chills,416,5 months ago,,
4,"Crazy how this movie is now on digital. It feels like only a month ago we were all begging for Marvel and Sony to release this trailer. What an absolutely fantastic movie. Much like how ITSV was a celebration of the Spider-Man comics, this film was a celebration of the live action films and it didn’t disappoint (at least for me anyway).",1.2K,8 months ago,,
5,If you came back to this trailer to relive the hype and to honor everything Spider-Man your a legend,7,5 days ago,,
6,"Strange: ""The entire world is about to forget that Peter Parker is Spiderman.""after the spellStrange: ""Who are you, where is Spiderman?""Peter: ""Who is Spiderman?""",18K,1 year ago,,
7,Spider-Man: No Way Home is the best non-Avengers movie in the MCU. Period.,517,6 months ago,,
8,2:35 Even after one year this moment still insane,5,5 days ago (edited),,
9,Spider-Man: No Way Home and The Batman are both great movies. You don’t have to put one down just because you like the other,534,8 months ago,,
10,"After watching this film, I suddenly realized what the MCU needs more of: supervillain vs supervillain fights. They gave us a taste of that, and I hope we see a lot of it in the future especially w/ the multiverse and all. I'm sure X-Men will have plenty once they get reintroduced.",953,11 months ago,,
11,I love how the trailer is enjoyable even after seeing the movie,441,9 months ago,,
12,"That ""hello peter"" of doctor oct was the greatest comeback of 2021",52K,1 year ago,,
13,It’s weird thinking about the fact that just a month ago we were eager to see even a glimpse of this movie and now we’ve finally witnessed it.,406,11 months ago (edited),,
14,I still can believe that this is about to be 2 years old already,2,3 days ago,,
15,Who else is revisiting the trailer to relive the hype?,219,4 months ago,,
16,"When u put your childhood, teenage time & adulthood in the blender then u got this movie full with ultimate emotions ️️️",237,11 months ago,,
17,"The day this trailer came out! Holy, that day will go down in history",2,7 days ago,,
18,The thing that everyone is so hyped about Green Goblin and Doc Octopus is how well the actors played their roles so many years ago..........,10K,1 year ago,,
19,"Dang cannot believe it's gonna be a year already, time really flies too fast",59,3 months ago,,
20,"It's been one year & ""Hello Peter"" still giving me chills.",20,1 month ago,,
21,"Even after an year, the Goblin laugh and Otto's entrance still gives me chills",5,2 weeks ago,,
22,This really doesn’t feel like 9 months ago. I remember being hyped for this movie and watching the trailer every day to try and find secrets and then getting hyped for the second trailer! I miss those times even though they were only 9 months ago.,78,6 months ago,,
23,It’s been 6 months since this came out and I still get goosebumps from this trailer even tho i already saw the movie. Marvel really did good with this. I can’t wait to see what’s going to happen next in Peters life,36,9 months ago (edited),,
24,"""Hello Peter""Fans: Get excited""You're not Peter Parker""Fans: Get more excited",3.3K,1 year ago,,
25,Ya un año de este trailer aún se me pone la piel chinita,17,3 months ago,,
26,It's been a month since this masterpiece of a movie came out. Best experience I've had in a movie theater since endgame!,29,10 months ago,,
27,"Even though I've already seen the movie and the trailer dozens of times I'm still watching, and ""Hello Peter"" still makes me shiver…",24,9 months ago,,
28,Is this movie as hype as people say it is? Yes. 100 % movie of the year.,76,11 months ago,,
29,"In 10 years from now, I'll still be saying that this was the best trailer",15,7 months ago,,
30,""" despite everything you've done for them , eventually, they will hate you ""
Green Goblin was right!",2.8K,1 year ago,,
