,Comment,Likes,Time,user,UserLink
0,Congrats to Zion on being officially the third owner of the Phoenix Suns organization. I’m sure Giannis and Luka are more than happy to have him in the ownership group.,1.3K,8 hours ago,,
1,"Zion scored 70 points on the same team, in one weekend. That's crazy!!",1K,9 hours ago,,
2,"I’m glad us impatient fans didn’t get to decide when Zion came back from injury. It’s clear he took the time necessary to come back 100%, if not 110%. Looks better than ever!",846,9 hours ago,,
3,"From a person that lived in New Orleans for most of his life ,I can confirm that this is the most talented & the most loaded roster we've ever had in New Orleans Basketball History! The Baron Davis & CP3 eras can't compare but to watch this franchise come from all of that til what is today ,this is beautiful",204,7 hours ago,,
4,"As a lifelong Pelicans fan since yesterday, I'm glad my team is finally playing well.",532,8 hours ago,,
5,It is honestly so hard to dislike this Pels team. So much working for them. Zion and Jose are such great stories for this season. Love to see them doing well.,65,6 hours ago,,
6,"Zion is such a force to be reckoned with. You know EXACTLY what he's gonna do, but you CAN'T stop it!",64,5 hours ago,,
7,This is a rivalry! I am happy for CJ for finding a home in New Orleans. Great win!,154,9 hours ago,,
8,Oh nothing to see here everyone.....Zion just being unstoppable and scoring 35 points.........AGAIN!!!!!!,156,9 hours ago,,
9,"Zions ball handling , quickness and overall game has improved so much this year it’s literally crazy how good he is",13,3 hours ago,,
10,Another amazing game by the Pels. Zion should be in the MVP race.,663,9 hours ago,,
11,Zion just doing what he was doing before the injury. Love to see it.,238,9 hours ago,,
12,Pelicans vs Suns has been so fun to watch between the playoffs and now pelicans taking two huge wins over them when everyone thought the suns would be better. Shoutout Zion he’s been an mvp caliber player especially with his team in first in the western conference.,168,9 hours ago,,
13,Zion is like the eye of the storm in that game. Truly a beast inside the court. This pelicans team is so fun to watch.,16,7 hours ago,,
14,Zion going to his left is practically unstoppable,31,7 hours ago,,
15,Pelicans feels like they found their style. Zion is just unstoppable force,91,9 hours ago,,
16,Great win Pelicans let's keep it going,25,9 hours ago,,
17,I find it very refreshing the way Zion plays. Nobody can guard that dude man.,14,6 hours ago,,
18,That end of the game 360 put Zion on total domination level,16,6 hours ago,,
19,Great WIN by the Pelicans again! This game was very physical and competitive. I am extremely proud of this team and how far they've become. CONGRATS to ZION for his game-high record and dominating performance!!!,5,4 hours ago (edited),,
20,Starting to love this Rivalry out of the West,78,9 hours ago,,
21,Love how zion is playing this year & hopefully he can stay %  for the rest of the year,20,8 hours ago,,
22,CJ was feeling himself after dunkhe seemed in a good mood after that..from all that love his team gave um.Well deserved. That’s my dude!!!,32,9 hours ago (edited),,
23,Zion putting great numbers this season. Pels deserve to be top in the west.,78,9 hours ago,,
24,Zion moves like a video game character....dude one of a kind... got me crying the whole game...,6,4 hours ago,,
25,Zion has officially entered the MVP conversation!!!,10,7 hours ago,,
26,love the badblood between this two teams. I hope they meet in the playoffs with healthy lineup,7,6 hours ago,,
27,Zions energy is contagious,5,3 hours ago,,
28,"It's hard to beat, intelligent power and grace. The brother got the package guided by Willie Green from the D,as in Detroit. A coach that wait for his turn and now shocking the NBA with this leadership skill. For sure the team to watch. And seems  like the players love playing for him. You can see and feel the love they have for each other",7,7 hours ago,,
29,"Hope Zion can stay healthy so that he can also showcase this dominance if they make it to the playoffs, BI and CJ too. Making this a formidable thresome plus those pesky of the bench players.",5,7 hours ago,,
30,Man I'm so happy for Zion! As a big guy myself who struggles everyday with my poor eating habits I know how hard it is to stay disciplined. Keep up the good work Zion!,3,3 hours ago,,
31,Suns players made sure they were by the basket at the end,19,8 hours ago,,
32,"GOD DAMN, I can’t wait until Ingram is healthy and at full force. This team is going to be insane during playoff time.",10,7 hours ago,,
33,One thing that continues to amaze me about Zion is his efficiency,0,17 minutes ago,,
34,The pelicans are crazy they got good chemistry and the unselfishness by the pelicans if they keep on doing this they will go a really long way,1,1 hour ago,,
35,So happy the Pelicans beat the Suns again Go Pelicans can’t wait for BI to come back,5,4 hours ago,,
36,Pelicans going to the Championship and WIN IT!!!!!!!!,65,9 hours ago (edited),,
37,So great to see how pelicans playing well this season.,1,8 hours ago,,
38,Wow.Zion is a MONSTER when penetrating to the rim.Unstoppable,2,8 hours ago,,
39,8:12 man what strength by Zion,4,5 hours ago,,
40,"""U can understand it or not""  Pelicans are here to stay",14,9 hours ago,,
41,Such an amazing transformation. How the Pelicans have blossomed ever since getting rid of Anthony Davis.,1,3 hours ago,,
42,This Pels team could win it all. They’re very good and they play well as a unit. They have a ton of heart and play hard for a full 48 mins.,5,6 hours ago,,
43,The crowd at the end wanted him to disrespect the Suns so bad,9,9 hours ago,,
44,It's so awesome to have witnessed the pelicans evolve into a top teir contender just so awesome,15,8 hours ago,,
45,The suns have so many dads it’s insane,89,9 hours ago (edited),,
46,Pels are for real....beatinng a quality team without BI twice back to back,38,9 hours ago,,
47,If Zion just stays healthy he’ll be great this season,1,6 hours ago,,
48,"I love the voice of the NO Pelicans announcer, almost as much as the great Kevin Calabro. He's got a nice gravely tone. Pelicans/Suns is my favorite rivalry thus far this season.",4,8 hours ago (edited),,
49,Zion and the pelicans are on fire,4,9 hours ago,,
50,Zion and CJ at the top of the key both playing pg is fun to watch and tough to beat,2,2 hours ago,,
51,Zion is officially “him” he’s that guy,59,9 hours ago,,
52,It’s always good to get an OT win during the season to get some experience for later on .,3,6 hours ago,,
53,Dude went running at the end of the game ready to dunk it again   Zion started a trend,1,2 hours ago,,
54,Pelicans going CRAZY! And BOOKER IS NO WHERE TO BE FOUND 🫣,11,9 hours ago (edited),,
55,"Man,Willie Green is doing a great job with the team. When Pels took him as coach,i thought hed be another Steve Nash. Didnt expect Pels to be 1st in the standing at any point. And now,here we are.",1,8 hours ago,,
56,"Can’t wait to see Zion, Ingram and Cj in the playoffs. Speaking it into existence",0,1 hour ago,,
57,Zion SONNING the Suns yet again!!!,3,7 hours ago,,
58,Satisfied to see Suns getting cocky early in the game and screwing things in crunch time,8,8 hours ago,,
59,"Just imagine everybody healthy , I can’t imagine anybody stopping us",4,8 hours ago,,
60,I remember when Zion was in high school so many people said he wouldn’t do the same in the NBA lmao,9,8 hours ago,,
61,Let's go Pelicans! This is the new team rivalry matchup!,1,7 hours ago,,
62,Zion doing co- parenting with Luka,107,9 hours ago,,
63,The electricity in the building and the whole league in on FIIRRRRREEE because of this team right now. LETS GET IT!!,10,9 hours ago,,
64,Okay Folks...Zion WIlliamson has arrived and is looking like a man among boys...unstoppable!!! Another 4-5 games like this and he catapults himself into the top spot for MVP his team is winning!!! Big ups to CJ he is the steady hand... BI isn't even playing,5,8 hours ago,,
65,Goodness man Zion is so talented and strong.,0,4 hours ago,,
66,Zion “Freight Train” Williamson.  He reminded me of a Young Lebron charging to the basket!,3,8 hours ago,,
67,"Zion, Luka, Giannis. These monstrous players really love dominating the Suns.",1,6 hours ago,,
68,"Zion for mvp , nd he can really shoot if he wants , Zion is simply unstoppable!",99,9 hours ago,,
