,Comment,Likes,Time,user
0,"Nayeon - ""The Princess Diaries"".Momo - ""Lalaland"".Sana - ""Pulp Fiction"".Jeongyeon - ""Ghost"".Dahyun - ""Leon: The Professional "".Chaeyoung - ""Leon: The Professional ""Tzuyu - ""Romeo + Juliet"".Jihyo - ""Love Letter"".Mina - ""La Boum""",20K,2 years ago (edited),
1,언니들 너무 귀여워요️️,14,7 days ago,
2,"매일같이 영화 속에서나책 속에서나 드라마 속에서 사랑을 느껴Mmm 사랑을 배워내 일처럼 자꾸 가슴이 뛰어 두근두근거려설레임에 부풀어 올라Mmm 궁금해서 미칠 것만 같아Ooh 언젠간 내게도이런 일이 실제로 일어날까그게 언제쯤일까? 어떤 사람일까?I wanna know 사탕처럼 달콤하다는데I wanna know 하늘을 나는 것 같다는데I wanna know, know, know, knowWhat is love? 사랑이 어떤 느낌인지I wanna know 하루 종일 웃고 있다는데I wanna know 세상이 다 아름답다는데I wanna know, know, know, knowWhat is love? 언젠간 나에게도 사랑이 올까지금 이런 상상만으로도떠올려만 봐도 가슴이 터질 것 같은데Mmm 이렇게 좋은데만일 언젠가 진짜로 내게사랑이 올 때 난 울어버릴지도 몰라Mmm 정말 궁금해 미칠 것만 같아Ooh 언젠간 내게도이런 일이 실제로 일어날까Ooh, ooh, ooh 그게 언제쯤일까? 어떤 사람일까?I wanna know 사탕처럼 달콤하다는데I wanna know 하늘을 나는 것 같다는데I wanna know, know, know, knowWhat is love? 사랑이 어떤 느낌인지I wanna know 하루 종일 웃고 있다는데I wanna know 세상이 다 아름답다는데I wanna know, know, know, knowWhat is love? 언젠간 나에게도 사랑이 올까지금 세상 어느 곳에 살고 있는지도대체 언제쯤 나와 만나게 될런지언제 우리의 인연은 시작될런지 모르지만 느낌이 어쩐지진 진 진짜 좋을 것 같아 왠지영화 드라마보다도 더 멋진사랑이 올 거야 내 예감 언제나 맞지어서 나타나봐 나는 다 준비가 됐지 ready!찾아낼 거야(어디 있을까) 보고 싶어 죽겠어더 이상 참을 수 없을 것만 같아사탕처럼 달콤하다는데하늘을 나는 것 같다는데I wanna know, know, know, knowWhat is love? 사랑이 어떤 느낌인지하루 종일 웃고 있다는데세상이 다 아름답다는데I wanna know, know, know, knowWhat is love? 언젠간 나에게도 사랑이 올까I wanna know, I wanna knowI wanna know, know, know, knowWhat is love?I wanna know, I wanna knowI wanna know, I wanna knowI wanna know, know, know, knowWhat is love?I wanna know",9,7 days ago,
3,Ayudemos a TWICE a llegar a 1B,22,1 day ago,
4,Até o final de 2023 espero que esse mv tenha mais de 760M!! Elas merecem,14,1 day ago,
5,"Vamos once, démosle un nuevo logro a Twice al hacernos llegar a 700m muy pronto",10,12 hours ago,
6,Twice in 2018: What is loveTwice in 2020: Love is toxicTwice in 2021: Taste of loveAlso Twice     : Formula of loveAgain twice.   : O+T = <3,9.9K,1 year ago (edited),
7,"solo 13M para los 700M, hay que hacer stream todo el mes para lograr la meta siquiera antes de 2023 o en enero",14,1 day ago (edited),
8,Sería épico que llege a los 700M,15,13 days ago,
9,690M esta cerca!!,13,2 days ago,
